"","lat","long","elev_raw"
"1",40.3,-3.9,629
"2",40.3072727272727,-3.9,636
"3",40.3145454545455,-3.9,636
"4",40.3218181818182,-3.9,636
"5",40.3290909090909,-3.9,639
"6",40.3363636363636,-3.9,639
"7",40.3436363636364,-3.9,640
"8",40.3509090909091,-3.9,640
"9",40.3581818181818,-3.9,640
"10",40.3654545454545,-3.9,642
"11",40.3727272727273,-3.9,642
"12",40.38,-3.9,642
"13",40.3872727272727,-3.9,656
"14",40.3945454545455,-3.9,656
"15",40.4018181818182,-3.9,656
"16",40.4090909090909,-3.9,678
"17",40.4163636363636,-3.9,678
"18",40.4236363636364,-3.9,697
"19",40.4309090909091,-3.9,697
"20",40.4381818181818,-3.9,697
"21",40.4454545454545,-3.9,699
"22",40.4527272727273,-3.9,699
"23",40.46,-3.9,699
"24",40.4672727272727,-3.9,683
"25",40.4745454545455,-3.9,683
"26",40.4818181818182,-3.9,683
"27",40.4890909090909,-3.9,674
"28",40.4963636363636,-3.9,674
"29",40.5036363636364,-3.9,684
"30",40.5109090909091,-3.9,684
"31",40.5181818181818,-3.9,684
"32",40.5254545454545,-3.9,699
"33",40.5327272727273,-3.9,699
"34",40.54,-3.9,699
"35",40.5472727272727,-3.9,728
"36",40.5545454545455,-3.9,728
"37",40.5618181818182,-3.9,795
"38",40.5690909090909,-3.9,795
"39",40.5763636363636,-3.9,795
"40",40.5836363636364,-3.9,898
"41",40.5909090909091,-3.9,898
"42",40.5981818181818,-3.9,898
"43",40.6054545454545,-3.9,1004
"44",40.6127272727273,-3.9,1004
"45",40.62,-3.9,1004
"46",40.6272727272727,-3.9,1106
"47",40.6345454545455,-3.9,1106
"48",40.6418181818182,-3.9,1129
"49",40.6490909090909,-3.9,1129
"50",40.6563636363636,-3.9,1129
"51",40.6636363636364,-3.9,1039
"52",40.6709090909091,-3.9,1039
"53",40.6781818181818,-3.9,1039
"54",40.6854545454545,-3.9,942
"55",40.6927272727273,-3.9,942
"56",40.7,-3.9,942
"57",40.3,-3.89272727272727,639
"58",40.3072727272727,-3.89272727272727,645
"59",40.3145454545455,-3.89272727272727,645
"60",40.3218181818182,-3.89272727272727,645
"61",40.3290909090909,-3.89272727272727,657
"62",40.3363636363636,-3.89272727272727,657
"63",40.3436363636364,-3.89272727272727,665
"64",40.3509090909091,-3.89272727272727,665
"65",40.3581818181818,-3.89272727272727,665
"66",40.3654545454545,-3.89272727272727,669
"67",40.3727272727273,-3.89272727272727,669
"68",40.38,-3.89272727272727,669
"69",40.3872727272727,-3.89272727272727,674
"70",40.3945454545455,-3.89272727272727,674
"71",40.4018181818182,-3.89272727272727,674
"72",40.4090909090909,-3.89272727272727,690
"73",40.4163636363636,-3.89272727272727,690
"74",40.4236363636364,-3.89272727272727,714
"75",40.4309090909091,-3.89272727272727,714
"76",40.4381818181818,-3.89272727272727,714
"77",40.4454545454545,-3.89272727272727,727
"78",40.4527272727273,-3.89272727272727,727
"79",40.46,-3.89272727272727,727
"80",40.4672727272727,-3.89272727272727,716
"81",40.4745454545455,-3.89272727272727,716
"82",40.4818181818182,-3.89272727272727,716
"83",40.4890909090909,-3.89272727272727,707
"84",40.4963636363636,-3.89272727272727,707
"85",40.5036363636364,-3.89272727272727,712
"86",40.5109090909091,-3.89272727272727,712
"87",40.5181818181818,-3.89272727272727,712
"88",40.5254545454545,-3.89272727272727,715
"89",40.5327272727273,-3.89272727272727,715
"90",40.54,-3.89272727272727,715
"91",40.5472727272727,-3.89272727272727,724
"92",40.5545454545455,-3.89272727272727,724
"93",40.5618181818182,-3.89272727272727,762
"94",40.5690909090909,-3.89272727272727,762
"95",40.5763636363636,-3.89272727272727,762
"96",40.5836363636364,-3.89272727272727,846
"97",40.5909090909091,-3.89272727272727,846
"98",40.5981818181818,-3.89272727272727,846
"99",40.6054545454545,-3.89272727272727,948
"100",40.6127272727273,-3.89272727272727,948
"101",40.62,-3.89272727272727,948
"102",40.6272727272727,-3.89272727272727,1049
"103",40.6345454545455,-3.89272727272727,1049
"104",40.6418181818182,-3.89272727272727,1083
"105",40.6490909090909,-3.89272727272727,1083
"106",40.6563636363636,-3.89272727272727,1083
"107",40.6636363636364,-3.89272727272727,1024
"108",40.6709090909091,-3.89272727272727,1024
"109",40.6781818181818,-3.89272727272727,1024
"110",40.6854545454545,-3.89272727272727,943
"111",40.6927272727273,-3.89272727272727,943
"112",40.7,-3.89272727272727,943
"113",40.3,-3.88545454545455,639
"114",40.3072727272727,-3.88545454545455,645
"115",40.3145454545455,-3.88545454545455,645
"116",40.3218181818182,-3.88545454545455,645
"117",40.3290909090909,-3.88545454545455,657
"118",40.3363636363636,-3.88545454545455,657
"119",40.3436363636364,-3.88545454545455,665
"120",40.3509090909091,-3.88545454545455,665
"121",40.3581818181818,-3.88545454545455,665
"122",40.3654545454545,-3.88545454545455,669
"123",40.3727272727273,-3.88545454545455,669
"124",40.38,-3.88545454545455,669
"125",40.3872727272727,-3.88545454545455,674
"126",40.3945454545455,-3.88545454545455,674
"127",40.4018181818182,-3.88545454545455,674
"128",40.4090909090909,-3.88545454545455,690
"129",40.4163636363636,-3.88545454545455,690
"130",40.4236363636364,-3.88545454545455,714
"131",40.4309090909091,-3.88545454545455,714
"132",40.4381818181818,-3.88545454545455,714
"133",40.4454545454545,-3.88545454545455,727
"134",40.4527272727273,-3.88545454545455,727
"135",40.46,-3.88545454545455,727
"136",40.4672727272727,-3.88545454545455,716
"137",40.4745454545455,-3.88545454545455,716
"138",40.4818181818182,-3.88545454545455,716
